date,username,tweet
2023-01-14 21:03:34,KPUKotaTegal,Bagi Calon Anggota Panitia Pemungutan Suara (PPS)  yang dinyatakan Memenuhi Syarat dan Lulus tahap seleksi Tertulis untuk hadir dalam Seleksi Wawancara dan Komputer Jangan sampai ketinggalan ya..  #KPUMelayani #pemiluserentak2024  https://t.co/HgHXbM0Hm0
2023-01-14 20:48:00,tegalfess,"[TF] apakah betul peraturan naik kereta itu, tidak diperkenankan untuk ibu hamil yg masuk 7 bulan?"
2023-01-14 20:46:50,tegalfess,"[tf] guys ada yg punya kontak travel tegal-semarang ga yg amanah? Soalnya ibuku mau ke semarang jenguk aku tp blio sndirian udh sepuh ga bisa hapean jg, jd nyari travel yg bisa diamanahi utk jemput dan antar sesuai alamat. Tengkyu guys mohon infonya"
2023-01-14 20:42:51,tegalfess,"[TF] gais saranin aku tempat buat skripsian di tegal dong, yang minuman atau makanannya juga enak xixi maaciw"
2023-01-14 20:39:18,tegalfess,"[TF] yuk barangkali ada yang butuh nih, teman-teman sekalian🤗  https://t.co/nH80tp4vHb"
2023-01-14 20:36:50,tegalfess,"[TF] gaes aku g boleh pelihara kucing lagi, dan kucing mau di buang di pasar sm bapake 😭 sedih banget, hukum membuang kucing di pasar apa yah 🥲"
2023-01-14 20:33:39,MumtazMH,"City I dislike: jakarta, surabaya City I think is overrated: semarang, yogya (kota, daerah pleret enak) City I like: malang City I love and underrated: Purwokerto City I feel most myself in: tegal City I still need to visit: madinah, milan City I dream of living in: purwokerto"
2023-01-14 20:31:18,tegalfess,[TF] Hai teman-teman. Ikutan yuuk.. link pendaftaran ada di flyer yaa. Free!  https://t.co/MDBFsIG7qh
2023-01-14 20:09:40,tegalfess,[tf] info cuaca di guci kawan?
2023-01-14 20:09:24,infotegal,"Dari becak cinta, delman, dan sekuter listrik, mana nih yang sudah pernah dinaiki saat main ke kawasan Jl. Pancasila Kota Tegal? Ceritain dong pengalamannya.   #Tegal #Slawi #infotegal #wisatategal  https://t.co/cJ2Okp1g2R"
2023-01-14 20:04:47,tegalfess,"gais kalo mau ikut jualan di balkot minggu pagi itu harus konfirmasi dulu ga? apa boleh langsung asal jualan aja? niatnya sender mau jualan tp cuma pake nox gitu ga perlu stand yg gede2 kalo ada yg tau infonya tolong rep ya, terimakasih [tf]"
2023-01-14 19:48:25,tegalfess,[TF] Cunggg yg udah nyobain jahelani  https://t.co/tGN8keK4kN
