,tweet
137,"Brigjen TNI Iwan menerima amanat langsung dari Menhan @prabowo untuk mengemban pengabdian dalam mempertahankan keutuhan wilayah dan menegakkan kedaulatan NKRI, serta melindungi segenap bangsa Indonesia.   https://t.co/56GHwadu2w  @Kemhan_RI @penkopassus  #IDM #Danjen #Kopassus"
138,@SultraGerindra @prabowo @Gerindra @loisglohf @ti_pann
139,"Anda tau @Gerindra kalian itu partai sampah yang seketika buat pasukan buzzer karena @prabowo  ditinggal pendukungnya yang oposisi, makanya kalian buat ribuan akun buzzer yang isinya cuma muja2 @prabowo   Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh"
140,"@SimpatisanTimur @prabowo @Gerindra Njiirrrr, komenya sama semua isinya buzzer Prabowo 😂😂😂"
141,@Fatimah7415 @jokowi @mohmahfudmd  @ListyoSigitP @Puspen_TNI @BNPTRI @binofficial_ri  Dan @prabowo  ngomongo to paaak....
142,@HyEvan1 @prabowo @Gerindra @jokowi Najis najis najis amit amit lbh baik gak milih sama sekali
143,@SultraGerindra @prabowo @Gerindra oraaaaaa
144,"@HyEvan1 @prabowo @Gerindra @jokowi Masih ada ganjar, erick"
145,"Menteri Pertahanan (Menhan) RI Prabowo Subianto menerima laporan kesiapan penyelenggaraan Indo Defence 2022 Expo &amp; Forum dari Ketua Panitia Dirjen Pothan Kemhan @dhendrayudha dan PT Napindo selaku penyelenggara, di Aula Bhineka Tunggal Ika, Kemhan, Selasa (12/4).  https://t.co/8btPxBxQE3"
146,@Rangga_kinasih @Nicho_Silalahi @jokowi @prabowo @sandiuno Seperti Komutnya ya...
147,@ChusnulCh__ @prabowo jelas takut lah @prabowo .. dia ini berusaha main aman! agar nanti dapat lagi support dari gerombolan setan2 kadrun untuk pilpres 2024
148,"Menteri Pertahanan (Menhan) RI Prabowo Subianto @prabowo menerima laporan kesiapan penyelenggaraan Indo Defence 2022 Expo &amp; Forum dari Ketua Panitia Dirjen Pothan Kemhan, PT Napindo selaku penyelenggara, di Aula Bhineka Tunggal Ika, Kemhan, Selasa (12/4).  https://t.co/UNvVhAyQUE"
149,"@mahasiswigenz Mantap itu. MajulahHatim sudah kamu ambil. Aku mau usulkan gubernur jateng, Ganjar Pranowo didampingi Prabowo Subianto."
150,@marcal4646 @ChusnulCh__ @prabowo Goblok lo nul..lo tau betapa si ade gak ada hormatnya ama pak prabowo..nih lo baca..  https://t.co/nXcAk9g2QN
151,@Nicho_Silalahi @jokowi @prabowo @sandiuno Akun Maling Muncul lagi 🤣🤣🤣🤣  https://t.co/fEh6ZXg20m
152,@Showgo_office @jokowi @prabowo @aniesbaswedan
153,"@ChusnulCh__ @prabowo Gua selalu bilang, nggak akan percaya prabowo yg berbulu domba."
154,@DkHurek @mu133tmr @Irwan2yah @ListyoSigitP @DivHumas_Polri @CCICPolri @Puspen_TNI @mohmahfudmd @prabowo @BNPTRI Aku kok masih belum paham maksudnya lemhanas
155,@ChusnulCh__ @prabowo Kakinya masih dua kan ??? 😒
156,@ChusnulCh__ @prabowo Belom bangun mungkin
157,"@ChusnulCh__ @prabowo Bosen denger ade mulu,,liat aja muak,,ganti topik aja,,bikin muntah aja"
158,@ChusnulCh__ @prabowo Sang Jendral telah tersandera oleh masa lalunya
159,Lembaga Survei Charta Politika merilis data elektabilitas Gubernur Jawa Tengah Ganjar Pranowo unggul telak dari Menteri Pertahanan Prabowo Subianto.  #pilpres2024  https://t.co/QOFcLotcYL
160,@SultraGerindra @prabowo @Gerindra  https://t.co/EInnXFwxon
161,@RyantinaIrma @prabowo @Gerindra 2024 baiknya Pak prabowo dibelakang layar aja jdi king maker. Mari 2024 saatnya Anies yg muda dn cerdas memimpin bangsa ini
162,"@ChusnulCh__ @prabowo Orang ini main 2 kaki, menjaga suara kadrun"
163,@ChusnulCh__ @Purwa_wicak @prabowo DIA MACAN OMPONG
164,@imanlagi Prabowo Subianto Glow?
165,@ChusnulCh__ @prabowo Lhooo.. Masih beredar ya? Kirain lagi sibuk kayak Gober bebek.
166,"Yes, Sangat fenomenal pendukung Jokowi 2019 tambah percaya kepada Pak Prabowo dan menjadikan elektabilitas tertinggi menjatuhkan keyakinannya ke Prabowo. @prabowo @Gerindra Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh  https://t.co/CZ17BMThDw"
167,"@KD_Sulut @prabowo @Gerindra Mantab, Menjadi fenomenal massa Jokowi 2019 semakin positif kepada Prabowo Subianto dan kemudian elektabilitas tertinggi membuat keyakinannya ke Prabowo.  @prabowo @Gerindra Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh"
168,"@KD_PapuaBarat @prabowo @Gerindra Benar sih, Prabowo elektabilitas paling tertinggi dalam mayoritas pemilih bila Pemilu dilaksanakan hari ini. Hitungan totalnya 26,5 %.   @prabowo @Gerindra Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh"
169,"Top banget, Hasil simulasi head to head kebanyakan menentukan Menhan Prabowo dgn elektabilitas tertinggi persentasenya lebih dari 50 persen pemilih.  @prabowo @Gerindra Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh  https://t.co/1JhbP8HquN"
170,@Nicho_Silalahi @jokowi @prabowo @sandiuno Bajingan pengecut
171,"@ChusnulCh__ @prabowo Ya @prabowo mana mau bersuara, kan bukan bagian team pemenangan"
172,"@ss_moloku @Gerindra @prabowo Fakta sih, Prabowo Subianto elektabilitas tetap tertinggi dalam mayoritas masyarakat jika pemilihan dilakukan hari ini. Angka totalnya 26,5 %.   @Gerindra @prabowo Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh"
173,"@ss_papuabrt @Gerindra @prabowo Asik nih, Institusi SPIN melansir hasil temuannya terkait elektabilitas Presiden 2024. Prabowo Subianto elektabilitas tertinggi dengan 26,5 %.  @Gerindra @prabowo Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh"
174,"@sslampung @Gerindra @prabowo Betul sih, Pak Prabowo elektabilitas masih tertinggi dalam sebagian besar masyarakat anda pemilihan dilakukan hari ini. Besaran totalnya 26,5 %.   @Gerindra @prabowo Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh"
175,"Elektabilitas Ganjar di dua provinsi itu jauh mengungguli nama-nama lain sekelas Prabowo Subianto, Puan Maharani dan Sandiaga Uno.   https://t.co/xYUpj9KcGX"
176,"Update nih, Hal yang dilaksanakan Pak Prabowo mempertebal kepercayaan rakyat, antara lain karena keterbukaan, akuntabilitas, dan menjunjung nilai.  Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh  @prabowo @gerindra"
177,"Yes, Sangat fenomenal pendukung Jokowi 2019 tambah percaya kepada Pak Prabowo dan menjadikan elektabilitas tertinggi menjatuhkan keyakinannya ke Prabowo. @prabowo @Gerindra Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh  https://t.co/IY5KD2zYaq"
178,@HyEvan1 @prabowo @Gerindra @jokowi Imposible.....
179,"Keren nih, Institusi SPIN merilis hitungan temuannya mengenai keterpilihan Presiden 2024. Pak Prabowo elektabilitas tertinggi dgn 26,5 %. @prabowo @Gerindra Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh  https://t.co/R5A8LGhavh"
180,"@KD_Papua @prabowo @Gerindra Mantab banget, Hasil simulasi head to head rata-rata milih Pak Prabowo dgn elektabilitas tertinggi pilihannya lebih dari 50 persen pemilih.  @prabowo @Gerindra Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh"
181,"@KD_Sulut @prabowo @Gerindra Jos banget, Hasil simulasi head to head sebagian besar menentukan Prabowo Subianto dengan elektabilitas tertinggi pilihannya lebih dari 50 persen suara.  @prabowo @Gerindra Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh"
182,"@amt_banten @Gerindra @prabowo Mantab banget, Pada simulasi head to head rata-rata milih Pak Prabowo dengan elektabilitas tertinggi persentasenya lebih dari 50 persen suara.  @Gerindra @prabowo Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh"
183,"Benar sih, Menhan Prabowo tambah diyakini jadi pemimpin sebab dapat mengelola kerja fokus, integritas, dan Keahliannya untuk bangsa.  Prabowo Semakin Mantab Dipercaya Karena Kerjanya Bangun Indonesia Tangguh  @prabowo @gerindra"
