username,tweet,location
CalistaKaisa,Ketua Harian DPP Partai Gerindra Sufmi Dasco Ahmad mengatakan Sandiaga Uno masih tunduk dan loyal kepada Ketua Umum Prabowo Subianto.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
Taniaanandaa,Dasco: Sandiaga Bilang Masih Tunduk dan Loyal ke Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
CalistaKaisa,Dasco: Sandiaga Bilang Masih Tunduk dan Loyal ke Prabowo.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
Taniaanandaa,"""Ini kok di Gerindra ada matahari kembar, Pak Prabowo atau Sandiaga."" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
CalistaKaisa,"""Ini kok di Gerindra ada matahari kembar, Pak Prabowo atau Sandiaga."" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
Taniaanandaa,"Apalagi mengingat, bahwa Partai Gerindra sudah melakukan deklarasi bersama PKB untuk berkoalisi maju Pilpres.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
Taniaanandaa,"""Internal Gerindra itu solid dari pusat hingga daerah, dari pusat hingga RT-RW dan ranting itu tegak lurus pada Prabowo Subianto yang akan diusung maju Pilpres."" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
CalistaKaisa,"""Internal Gerindra itu solid dari pusat hingga daerah, dari pusat hingga RT-RW dan ranting itu tegak lurus pada Prabowo Subianto yang akan diusung maju Pilpres."" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
CalistaKaisa,"Apalagi mengingat, bahwa Partai Gerindra sudah melakukan deklarasi bersama PKB untuk berkoalisi maju Pilpres.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
CalistaKaisa,Seluruh internal partai sudah satu suara mendukung Ketua Umum Partai Gerindra Prabowo Subianto.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
Taniaanandaa,"""Kalau Pak Sandi ingin maju Pilpres tentu bukan Gerindra jawabannya. Karena Gerindra itu harga mati bagi Prabowo Subianto,"" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
CalistaKaisa,"""Kalau Pak Sandi ingin maju Pilpres tentu bukan Gerindra jawabannya. Karena Gerindra itu harga mati bagi Prabowo Subianto,"" kata Adi.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
Taniaanandaa,Seluruh internal partai sudah satu suara mendukung Ketua Umum Partai Gerindra Prabowo Subianto.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
Taniaanandaa,"""Kalau itu kemudian menjamin bahwa dia akan tetap, saya tidak bisa jamin. Tanya saja kepada Mas Sandi,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
AndikKuswanto11, https://t.co/VlTnC7E6pM @jokowi @prabowo,JAMBI
CalistaKaisa,"""Kalau itu kemudian menjamin bahwa dia akan tetap, saya tidak bisa jamin. Tanya saja kepada Mas Sandi,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
